date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:42:18	92/92	---M-Z	200	added ('OK')	text/plain	date:Sun,%2019%20Jun%202016%2003:42:05%20GMT	http://naturalcapitalforum.com/robots.txt		(from )
22:42:18	22810/22810	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2003:42:05%20GMT	http://naturalcapitalforum.com/	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/index.html	(from )
22:42:19	21984/21984	---MCZ	200	added ('OK')	text/css	etag:W/%22feda974a77ea5783b8be673f142b7c88%22	http://netdna.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	E:/librillo/Pagina/Convencion/netdna.bootstrapcdn.com/font-awesome/4.2.0/css/font-awesome.min.css	(from http://naturalcapitalforum.com/)
22:42:19	3262/3262	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%225242e843-cbe%22	http://naturalcapitalforum.com/favicon.ico	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/favicon.ico	(from http://naturalcapitalforum.com/)
22:42:19	2302/2302	---M--	200	added ('OK')	text/css	etag:%22534afa97-8fe%22	http://addtocalendar.com/atc/1.5/atc-style-blue.css	E:/librillo/Pagina/Convencion/addtocalendar.com/atc/1.5/atc-style-blue.css	(from http://naturalcapitalforum.com/)
22:42:20	6582/6582	---M--	200	added ('OK')	image/png	etag:%2255376e10-19b6%22	http://naturalcapitalforum.com/img/core/logo-large.png	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/img/core/logo-large.png	(from http://naturalcapitalforum.com/)
22:42:20	51274/51274	---MCZ	200	added ('OK')	text/css	date:Sun,%2019%20Jun%202016%2003:42:07%20GMT	http://naturalcapitalforum.com/css/globalstyle.php	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/css/globalstyle.css	(from http://naturalcapitalforum.com/)
22:42:20	9579/9579	---M--	200	added ('OK')	image/png	etag:%2255099068-256b%22	http://naturalcapitalforum.com/img/core/bg-countdown.png	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/img/core/bg-countdown.png	(from http://naturalcapitalforum.com/)
22:42:26	31893/31893	---M--	200	added ('OK')	image/jpeg	etag:%2255682db9-7c95%22	http://naturalcapitalforum.com/docs/092_028__bannergrey_1426681836_standard.jpg	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/docs/092_028__bannergrey_1426681836_standard.jpg	(from http://naturalcapitalforum.com/)
22:42:27	5971/5971	---M--	200	added ('OK')	image/png	etag:%22556f1c26-1753%22	http://naturalcapitalforum.com/img/core/logo.png	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/img/core/logo.png	(from http://naturalcapitalforum.com/)
22:42:28	59657/59657	---M--	200	added ('OK')	image/jpeg	etag:%22556d97d5-e909%22	http://naturalcapitalforum.com/docs/092_028__plant_1433245651_standard.jpg	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/docs/092_028__plant_1433245651_standard.jpg	(from http://naturalcapitalforum.com/)
22:42:28	14929/14929	---M-Z	200	added ('OK')	text/xml	date:Sat,%2018%20Jun%202016%2011:00:00%20GMT	http://naturalcapitalforum.com/rss/news.xml	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/rss/news.xml	(from http://naturalcapitalforum.com/)
22:42:29	20081/20081	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2003:42:15%20GMT	http://naturalcapitalforum.com/why-attend/	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/why-attend/index.html	(from http://naturalcapitalforum.com/)
22:42:29	15426/15426	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2003:42:16%20GMT	http://naturalcapitalforum.com/why-attend/business-opportunities-and-risks/	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/why-attend/business-opportunities-and-risks/index.html	(from http://naturalcapitalforum.com/)
22:42:29	15311/15311	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2003:42:16%20GMT	http://naturalcapitalforum.com/why-attend/who-is-coming/	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/why-attend/who-is-coming/index.html	(from http://naturalcapitalforum.com/)
22:42:29	16008/16008	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2003:42:16%20GMT	http://naturalcapitalforum.com/speakers/detail/nicola-sturgeon	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/speakers/detail/nicola-sturgeon.html	(from http://naturalcapitalforum.com/)
22:42:30	15363/15363	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2003:42:17%20GMT	http://naturalcapitalforum.com/why-attend/ceos-events/	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/why-attend/ceos-events/index.html	(from http://naturalcapitalforum.com/)
22:42:30	16446/16446	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2003:42:17%20GMT	http://naturalcapitalforum.com/why-attend/young-leaders-roundtable/	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/why-attend/young-leaders-roundtable/index.html	(from http://naturalcapitalforum.com/)
22:42:31	30233/30233	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2003:42:17%20GMT	http://naturalcapitalforum.com/schedule/	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/schedule/index.html	(from http://naturalcapitalforum.com/)
22:42:31	15477/15477	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2003:42:18%20GMT	http://naturalcapitalforum.com/schedule/content-streams/	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/schedule/content-streams/index.html	(from http://naturalcapitalforum.com/)
22:42:31	16222/16222	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Jun%202016%2003:42:19%20GMT	http://naturalcapitalforum.com/speakers/detail/natalia-lutti-hummel	E:/librillo/Pagina/Convencion/naturalcapitalforum.com/speakers/detail/natalia-lutti-hummel.html	(from http://naturalcapitalforum.com/)
